직업명,회사,장소,지원 링크
"정보통신(사물인터넷, 자바, 파이썬, C) 강사 채용",한국직업능력교육원 안산,경기,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38294633
"[금융] 파이썬 기반 AI 플랫폼 개발/고급/상암,즉시(협의)",(주)지티씨솔루션,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38061439
"파이썬, C++, 소프트웨어 영상분야 개발 경험자",(주)시정,대전,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38165795
파이썬 활용 스마트팜 AI빅데이터 플랫폼 기반 분석응용 API구축,(주)마스팜,전북,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38031277
"IT 강사 파이썬&장고(django) 교육 평일저녁, 주말 강사 모집",휴먼교육센터학원,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38319957
"회전체 진동 진단 딥러닝 & 머신러닝 (파이썬, TensorFlow 등)",(주)스마트프로,대전,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38122365
"소프트웨어 개발 및 앱개발 ,파이썬 경험자우대 [대구]",정안헬스케어,대구,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38242501
"컴 파이썬, 아나콘다, 텐서플로, 주피터 주말 파트타임 강사",CMS랭귀지센터,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38129058
"응용프로그램개발( 파이썬,C#,임베디드), IoT개발자를 모십니다",도영아이씨티,충북,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38245983
빅데이터 전문가(자바&파이썬&R) 과정 훈련교사 모집.,(주)강림직업전문학교,경기,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38220860
파이썬/웹 개발자 모집,(주)비타,경기,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38214290
파이썬 개발자 (계약/정규/파트 자유),(주)제이어스,대전,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38068257
"IT강사님 모집합니다. ( JAVA, 빅데이터, 파이썬 외)",디지털원(주),서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38312302
"정보통신(사물인터넷, 자바, 파이썬, C) 강사 채용",한국직업능력교육원 안산,경기,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38290436
파이썬 웹개발(Django) 4년차 이상 모집 (프리/정규),(주)엔더스,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38328122
"모바일 웹 개발자(PHP, 파이썬 등) 채용",더치트(주),서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38295552
[IOT 사업본부] 사업/개발/품질 영역 개발자 채용,NHN,경기,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38314208
2020 하반기 대규모 채용공고,펑타이그레이터차이나(유),서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38310649
"2020년 신입/경력사원 공개채용(S/W개발, 기획/디자인, 경영지원 부문)",현대엠엔소프트(주),서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=38327828
